Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Média 2010/2019
Centro Leste,Feira de Santana,292750,Santa Bárbara,19.4528875379939,19.9404761904762,16.6666666666667,15.7142857142857,17.0212765957447,22.3140495867769,15.8974358974359,23.0414746543779,17.8571428571429,13.8211382113821,18.17268339122829
Centro Leste,Feira de Santana,292830,Santanópolis,15.0375939849624,13.5593220338983,14.84375,14.1592920353982,10.3896103896104,9.67741935483871,14.9253731343284,15.7142857142857,17.3076923076923,11.1111111111111,13.672545006612552
Centro Leste,Feira de Santana,292880,Santo Estêvão,20.2424242424242,18.0689655172414,20.4272363150868,18.1937172774869,16.6216216216216,15.3543307086614,18.2926829268293,17.6548089591568,15.1020408163265,12.1684867394696,17.21263151243045
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,18.2773109243697,17.738791423002,20.3196347031963,20.5445544554455,18.4331797235023,18.5273159144893,17.0731707317073,15.3179190751445,15.1933701657459,16.8508287292818,17.827607584588456
Centro Leste,Feira de Santana,293040,Serra Preta,21.8446601941748,20.3045685279188,21.0280373831776,19.0751445086705,15.2777777777778,23.0769230769231,18.8679245283019,20.1612903225806,20.4081632653061,17.7215189873418,19.776600857217304
Centro Leste,Feira de Santana,293110,Tanquinho,20.4081632653061,24.1379310344828,21.4953271028037,18.3908045977011,22.8571428571429,15.1515151515152,14.7540983606557,32.8125,15.2941176470588,23.0769230769231,20.83785230935894
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,19.6078431372549,26.1363636363636,21.6216216216216,17.1428571428571,18.9655172413793,17.741935483871,21.8181818181818,13.7254901960784,21.875,17.948717948718,19.658352822632573
Centro Leste,Feira de Santana,293170,Terra Nova,21.2903225806452,24.5714285714286,29.3478260869565,26.3888888888889,28.8135593220339,17.5182481751825,20.952380952381,29.4642857142857,26.3636363636364,22.65625,24.736682665543867
Centro Leste,Itaberaba,290130,Andaraí,29.5081967213115,25.1497005988024,26.530612244898,23.2954545454545,30.1204819277108,25.5434782608696,27.3972602739726,25.5681818181818,21.7616580310881,18.9054726368159,25.37804970591052
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,26.1904761904762,26.0586319218241,35.5555555555556,26.530612244898,27.5720164609053,24.5833333333333,22.2672064777328,25.2100840336134,23.4513274336283,18.4615384615385,25.588078211350552
Centro Leste,Itaberaba,290405,Bonito,28.9256198347107,35.6275303643725,35.2941176470588,33.7704918032787,32.8502415458937,37.109375,38.1974248927039,26.4150943396226,27.2727272727273,23.2283464566929,31.869096915706116
Centro Leste,Itaberaba,291190,Iaçu,27.0983213429257,28.5035629453682,28.0898876404494,26.2569832402235,25.1798561151079,24.390243902439,30.0,30.2158273381295,21.3793103448276,22.7272727272727,26.384126559674353
Centro Leste,Itaberaba,291260,Ibiquera,35.8974358974359,15.2542372881356,26.530612244898,20.4081632653061,20.7547169811321,28.3333333333333,33.3333333333333,24.4444444444444,38.4615384615385,22.7272727272727,26.614508797682994
Centro Leste,Itaberaba,291470,Itaberaba,21.0869565217391,20.7293666026871,25.6465517241379,20.162932790224,20.7383279044517,20.0828157349896,22.8665207877462,18.2548794489093,20.7291666666667,17.0957775489186,20.73932957304702
Centro Leste,Itaberaba,291500,Itaeté,28.1512605042017,28.1853281853282,22.3577235772358,25.9109311740891,25.3393665158371,27.5132275132275,25.1256281407035,23.7442922374429,24.5192307692308,27.3170731707317,25.81640617880283
Centro Leste,Itaberaba,291900,Lajedinho,27.2727272727273,24.0,23.5294117647059,18.6046511627907,22.2222222222222,18.6046511627907,35.7142857142857,21.4285714285714,16.6666666666667,27.5,23.55431873947606
Centro Leste,Itaberaba,291960,Macajuba,26.0606060606061,27.1794871794872,20.1117318435754,25.3846153846154,27.0833333333333,24.6153846153846,27.6243093922652,24.3243243243243,22.0588235294118,18.8811188811189,24.33237345441222
Centro Leste,Itaberaba,292080,Marcionílio Souza,23.780487804878,29.6511627906977,29.0780141843972,23.1292517006803,23.8805970149254,23.1884057971014,38.0952380952381,18.75,29.2307692307692,23.5294117647059,26.23133383833932
Centro Leste,Itaberaba,292285,Nova Redenção,25.2427184466019,33.8983050847458,33.3333333333333,30.0,29.8850574712644,22.3529411764706,35.2941176470588,32.3529411764706,22.1052631578947,26.6666666666667,29.113134416050677
Centro Leste,Itaberaba,292720,Ruy Barbosa,25.1748251748252,25.8474576271186,27.9475982532751,24.1299303944316,28.2377919320594,24.4306418219462,24.25,22.9934924078091,23.6658932714617,22.8438228438228,24.95214537267497
Centro Leste,Itaberaba,293280,Utinga,32.0610687022901,31.7689530685921,27.4074074074074,29.9212598425197,30.0353356890459,26.3157894736842,35.9223300970874,28.3400809716599,27.0588235294118,23.9043824701195,29.273543125181806
Centro Leste,Itaberaba,293340,Wagner,30.6569343065693,32.7272727272727,28.8,39.5348837209302,37.5,31.25,25.531914893617,29.6,24.7863247863248,24.5454545454545,30.49327849801685
Centro Leste,Seabra,290010,Abaíra,14.2857142857143,10.3448275862069,10.9090909090909,12.7272727272727,18.3673469387755,9.375,10.2040816326531,9.09090909090909,20.0,2.04081632653061,11.73450594971531
Centro Leste,Seabra,290400,Boninal,15.0,20.0,19.8830409356725,13.4615384615385,19.1780821917808,17.283950617284,21.0526315789474,14.4444444444444,16.8367346938775,17.1270718232044,17.42674947467495
Centro Leste,Seabra,291300,Ibitiara,15.4285714285714,18.9655172413793,18.4713375796178,17.0454545454545,20.6521739130435,19.7860962566845,19.3181818181818,20.9580838323353,19.205298013245,17.0212765957447,18.68519912242578
Centro Leste,Seabra,291440,Iraquara,26.1282660332542,27.5675675675676,26.9565217391304,24.2165242165242,28.0453257790368,25.8760107816712,26.8096514745308,20.4545454545455,19.5876288659794,21.7054263565891,24.73474682688292
