Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Leste,Serrinha,290210,Araci,40.0,31.0,51,40,30.0,41,46.0,39.0,45.0,33.0,25.0
Centro Leste,Serrinha,290327,Barrocas,15.0,12.0,11,10,10.0,13,8.0,15.0,9.0,20.0,15.0
Centro Leste,Serrinha,290360,Biritinga,9.0,16.0,24,13,9.0,22,18.0,14.0,14.0,21.0,13.0
Centro Leste,Serrinha,290680,Cansanção,24.0,23.0,24,28,31.0,37,42.0,55.0,31.0,41.0,38.0
Centro Leste,Serrinha,290840,Conceição do Coité,60.0,43.0,60,66,67.0,52,83.0,72.0,83.0,62.0,80.0
Centro Leste,Serrinha,291070,Euclides da Cunha,54.0,44.0,52,70,62.0,62,45.0,50.0,55.0,62.0,36.0
Centro Leste,Serrinha,291910,Lamarão,3.0,5.0,11,8,10.0,14,10.0,12.0,5.0,11.0,9.0
Centro Leste,Serrinha,292150,Monte Santo,34.0,37.0,31,33,39.0,31,28.0,25.0,37.0,46.0,30.0
Centro Leste,Serrinha,292265,Nordestina,14.0,7.0,15,13,14.0,15,16.0,8.0,7.0,11.0,23.0
Centro Leste,Serrinha,292580,Queimadas,26.0,20.0,18,9,24.0,12,29.0,16.0,24.0,26.0,27.0
Centro Leste,Serrinha,292590,Quijingue,18.0,17.0,17,15,13.0,20,15.0,17.0,26.0,23.0,14.0
Centro Leste,Serrinha,292610,Retirolândia,12.0,14.0,13,11,5.0,14,9.0,9.0,12.0,19.0,13.0
Centro Leste,Serrinha,292800,Santaluz,31.0,28.0,25,34,28.0,37,40.0,35.0,36.0,26.0,34.0
Centro Leste,Serrinha,292895,São Domingos,12.0,6.0,9,6,5.0,13,7.0,10.0,9.0,12.0,16.0
Centro Leste,Serrinha,293050,Serrinha,56.0,79.0,58,71,81.0,85,94.0,82.0,64.0,94.0,75.0
Centro Leste,Serrinha,293150,Teofilândia,21.0,12.0,15,26,14.0,20,12.0,18.0,16.0,12.0,20.0
Centro Leste,Serrinha,293190,Tucano,36.0,46.0,38,33,34.0,42,30.0,40.0,39.0,47.0,48.0
Centro Leste,Serrinha,293300,Valente,12.0,14.0,18,24,15.0,16,25.0,24.0,31.0,23.0,23.0
Centro Norte,Irecê,290115,América Dourada,13.0,10.0,10,15,23.0,15,24.0,12.0,16.0,21.0,18.0
Centro Norte,Irecê,290300,Barra do Mendes,12.0,7.0,14,13,19.0,17,16.0,22.0,19.0,14.0,22.0
Centro Norte,Irecê,290323,Barro Alto,18.0,13.0,19,10,12.0,18,25.0,9.0,37.0,25.0,13.0
Centro Norte,Irecê,290530,Cafarnaum,16.0,24.0,8,17,22.0,23,37.0,20.0,26.0,20.0,18.0
Centro Norte,Irecê,290620,Canarana,28.0,21.0,27,30,39.0,39,36.0,24.0,20.0,28.0,38.0
Centro Norte,Irecê,290760,Central,21.0,11.0,13,11,23.0,15,19.0,21.0,18.0,9.0,17.0
Centro Norte,Irecê,291130,Gentio do Ouro,7.0,9.0,9,9,9.0,7,18.0,5.0,13.0,10.0,15.0
Centro Norte,Irecê,291240,Ibipeba,12.0,16.0,24,15,13.0,22,20.0,19.0,17.0,19.0,25.0
Centro Norte,Irecê,291310,Ibititá,26.0,17.0,13,11,14.0,16,25.0,27.0,15.0,17.0,25.0
Centro Norte,Irecê,291460,Irecê,62.0,53.0,65,67,67.0,64,79.0,108.0,93.0,100.0,102.0
