Unnamed: 0,Unnamed: 1,Nº,%,Unnamed: 4,Nº.1,%.1,Unnamed: 7,Nº.2,%.2,Unnamed: 10,Nº.3,%.3,Unnamed: 13,Nº.4,%.4,Unnamed: 16,Nº.5,%.5,Unnamed: 19,Nº.6,%.6
292740,Salvador,15275.0,97.6038338658147,,15127.0,96.9430915149962,,15098.0,96.0493670080794,,15110.0,96.7597336065574,,15601.0,97.1903812609021,,15860.0,96.3196890562371,,14129.0,90.6984208499165
292860,Santo Amaro,381.0,92.4757281553398,,315.0,91.304347826087,,335.0,91.5300546448087,,298.0,92.8348909657321,,366.0,92.8934010152284,,355.0,90.3307888040712,,289.0,86.5269461077844
292920,São Francisco do Conde,157.0,97.5155279503106,,176.0,95.1351351351351,,171.0,96.6101694915254,,180.0,94.2408376963351,,170.0,98.2658959537572,,196.0,94.6859903381642,,179.0,93.717277486911
292950,São Sebastião do Passé,207.0,93.2432432432432,,220.0,95.2380952380952,,203.0,93.9814814814815,,220.0,94.4206008583691,,222.0,97.3684210526316,,259.0,95.5719557195572,,223.0,93.3054393305439
292975,Saubara,46.0,100.0,,67.0,93.0555555555556,,71.0,88.75,,73.0,90.1234567901235,,60.0,95.2380952380952,,57.0,70.3703703703704,,40.0,86.9565217391304
293320,Vera Cruz,197.0,91.2037037037037,,231.0,95.0617283950617,,243.0,93.8223938223938,,215.0,89.9581589958159,,233.0,93.2,,269.0,91.8088737201365,,251.0,87.4564459930314
29044,Região de Santo Antônio de Jesus,2466.0,91.8435754189944,,2436.0,89.3617021276596,,2496.0,89.7518878101402,,2384.0,87.679293858036,,2489.0,91.0054844606947,,2539.0,87.3709566414315,,2533.0,88.4118673647469
290100,Amargosa,198.0,91.6666666666667,,247.0,93.2075471698113,,227.0,90.8,,222.0,92.5,,247.0,96.8627450980392,,232.0,89.922480620155,,251.0,87.4564459930314
290230,Aratuípe,34.0,94.4444444444444,,36.0,92.3076923076923,,36.0,94.7368421052632,,50.0,94.3396226415094,,48.0,97.9591836734694,,53.0,94.6428571428571,,41.0,91.1111111111111
290730,Castro Alves,119.0,68.0,,112.0,64.7398843930636,,124.0,73.8095238095238,,125.0,67.9347826086957,,138.0,82.1428571428571,,129.0,67.8947368421053,,127.0,73.8372093023256
290830,Conceição do Almeida,116.0,93.5483870967742,,96.0,94.1176470588235,,126.0,90.0,,104.0,83.8709677419355,,81.0,81.8181818181818,,97.0,90.6542056074766,,121.0,94.53125
