Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2012,2013,2014,2015,2016,2017,2018,2019,2020**,MÉDIA
Oeste,Barreiras,291110,Formosa do Rio Preto,75,44.4,100.0,0.0,0.0,0,100,0.0,0.0,35.48888888888889
Sul,Valença,291120,Gandu,87.5,87.5,0.0,100.0,66.7,80,66.7,33.3,40.0,62.411111111111104
Centro Leste,Feira de Santana,291125,Gavião,100,0,0.0,0.0,50.0,50,0,0.0,25.0,25.0
Centro Norte,Irecê,291130,Gentio do Ouro,100,0,33.3,100.0,100.0,100,50,100.0,0.0,64.8111111111111
Norte,Paulo Afonso,291140,Glória,50,57.1,84.0,0.0,0.0,0,0,100.0,0.0,32.34444444444445
Sul,Itabuna,291150,Gongogi,100,0,20.0,0.0,0.0,0,0,50.0,0.0,18.88888888888889
Leste,Cruz das Almas,291160,Governador Mangabeira,100,50,75.0,50.0,0.0,50,75,42.9,100.0,60.32222222222222
Sudoeste,Brumado,291165,Guajeru,-,0,0.0,100.0,100.0,100,0,0.0,0.0,37.5
Sudoeste,Guanambi,291170,Guanambi,90,75,50.0,53.8,20.0,50,66.7,50.0,62.5,57.55555555555556
Extremo Sul,Porto Seguro,291180,Guaratinga,20,0,0.0,0.0,0.0,33.3,0,0.0,0.0,5.922222222222222
Nordeste,Ribeira do Pombal,291185,Heliópolis,100,33.3,0.0,0.0,0.0,0,0,100.0,0.0,25.922222222222224
Centro Leste,Itaberaba,291190,Iaçu,100,100,66.7,100.0,50.0,87.5,100,100.0,100.0,89.35555555555555
Sudoeste,Guanambi,291200,Ibiassucê,50,100,0.0,0.0,0.0,50,0,50.0,0.0,27.77777777777778
Sul,Itabuna,291210,Ibicaraí,-,100,100.0,100.0,0.0,100,100,100.0,0.0,75.0
Sudoeste,Brumado,291220,Ibicoara,100,100,100.0,100.0,50.0,71.4,100,50.0,100.0,85.71111111111111
Sudoeste,Itapetinga,291230,Ibicuí,100,66.7,0.0,66.7,0.0,50,0,0.0,0.0,31.488888888888887
