Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,1º VIG 2015 %,2º VIG 2015 %,1º VIG 2016 %,2º VIG 2016 %,1º VIG 2017 %,2º VIG 2017 %,1º VIG 2018 %,2º VIG 2018 %,1º VIG 2019 %,2º VIG 2019 %,1º VIG 2020 %,2º VIG 2020 %
Norte,Juazeiro,291840,Juazeiro,88.36,95.65,88.35,97.85,99.45,83.11," 89,41 ",59.11,"66,71","70,23",39.56,40.17
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,72.86,76.51,73.83,70.12,71.22,71.23," 68,46 ",81.92,"77,78","81,19",31.08,35.36
Centro Norte,Irecê,291850,Jussara,78.61,87.77,79.64,86.55,80.31,82.82," 80,85 ",90.81,"89,40","89,45",63.040000000000006,82.46
Sul,Itabuna,291855,Jussari,85.86,87.82,85.72,87.21,85.94,87.84," 89,31 ",85.27,"80,78","81,39",29.14,34.489999999999995
Sudoeste,Brumado,291860,Jussiape,91.65,96.28,93.8,97.84,98.41,98.33," 97,26 ",97.73,"97,90","97,90",69.16,61.38
Sul,Jequié,291870,Lafaiete Coutinho,69.92,75.45,69.13,77.72,70.86,73.0," 73,94 ",79.49,"59,03","79,12",38.1,41.89
Sudoeste,Guanambi,291875,Lagoa Real,98.97,99.76,100.0,98.5,95.77,95.53," 94,69 ",91.47,"91,26","90,40",85.26,83.45
Leste,Santo Antônio de Jesus,291880,Laje,85.57,91.86,89.02,82.27,85.46,89.21," 83,31 ",91.35,"89,49","93,03",86.22000000000001,87.61
Extremo Sul,Teixeira de Freitas,291890,Lajedão,93.62,97.74,94.01,91.34,93.81,81.31," 83,54 ",90.19,"85,03","83,31",31.730000000000004,29.62
Centro Leste,Itaberaba,291900,Lajedinho,78.67,76.81,70.12,75.94,81.88,89.68," 92,43 ",92.07,"92,54","93,73",46.46,38.39
Sul,Jequié,291905,Lajedo do Tabocal,86.81,81.29,83.06,66.45,80.71,68.83," 83,39 ",81.58,"89,42","86,39",50.45,46.400000000000006
Centro Leste,Serrinha,291910,Lamarão,95.18,95.37,91.46,93.85,89.21,88.52," 83,72 ",89.39,"87,06","88,38",22.43,25.119999999999997
Centro Norte,Irecê,291915,Lapão,83.28,86.93,82.69,82.58,85.75,87.06," 83,81 ",89.01,"87,66","91,77",35.9,49.93
Leste,Salvador,291920,Lauro de Freitas,43.8,54.79,43.58,40.42,43.65,47.77," 47,11 ",57.93,"54,01","58,65",28.74,30.73
Centro Leste,Seabra,291930,Lençóis,68.93,60.59,61.99,52.72,46.98,84.68," 75,23 ",81.54,"81,35","89,83",38.0,41.94
Sudoeste,Guanambi,291940,Licínio de Almeida,77.02,80.43,41.16,76.53,71.87,85.8," 94,01 ",76.5,"86,24","82,45",41.440000000000005,38.379999999999995
Sudoeste,Brumado,291950,Livramento de Nossa Senhora,94.75,95.22,92.46,90.1,80.78,82.44," 79,42 ",86.02,"89,03","89,78",45.38,83.8
Oeste,Barreiras,291955,Luís Eduardo Magalhães,50.22,47.93,47.88,28.13,48.03,55.18," 57,83 ",63.56,"69,14","68,10",35.18,16.6
Centro Leste,Itaberaba,291960,Macajuba,92.35,93.81,88.6,90.18,94.34,91.4," 89,64 ",91.99,"92,33","91,17",38.06,40.77
Sudoeste,Itapetinga,291970,Macarani,81.32,75.49,78.64,75.98,79.65,79.56," 61,45 ",82.93,"80,09","80,30",15.64,20.150000000000002
Sudoeste,Brumado,291980,Macaúbas,83.63,87.51,86.91,91.26,93.06,91.76," 89,05 ",77.68,"80,23","81,61",67.01,54.85
Norte,Paulo Afonso,291990,Macururé,76.94,82.42,82.52,84.01,85.36,85.15," 78,11 ",72.25,"73,95","74,98",31.370000000000005,58.34
Leste,Salvador,291992,Madre de Deus,79.12,82.82,75.28,62.98,50.42,39.62," 47,50",63.18,"49,43","58,49",16.68,12.879999999999999
Sudoeste,Vitória da Conquista,291995,Maetinga,94.42,98.58,98.34,96.53,95.4,91.73," 96,22",93.25,"91,69","92,20",82.33,79.21000000000001
Sudoeste,Itapetinga,292000,Maiquinique,73.24,68.45,66.66,64.15,69.06,72.1," 64,42",47.1,"71,32","70,75",13.420000000000002,28.110000000000003
Centro Norte,Jacobina,292010,Mairi,94.47,89.78,88.69,94.79,97.91,97.07," 79,74",88.44,"92,53","83,65",68.10000000000001,82.72
Sudoeste,Guanambi,292020,Malhada,86.99,86.71,82.7,73.88,88.52,89.3," 92,56",98.86,"89,93","99,29",33.49,96.12
Sudoeste,Brumado,292030,Malhada de Pedras,90.17,84.36,82.61,97.4,95.76,96.58," 96,25",94.63,"96,78","97,31",38.67,39.86
Sul,Jequié,292040,Manoel Vitorino,74.81,73.45,72.34,75.57,87.2,86.25," 86,72",79.65,"84,58","89,29",76.67,78.84
Oeste,Barreiras,292045,Mansidão,82.72,55.81,62.47,63.66,86.06,75.61," 79,23",64.86,"48,74","81,94",63.5,46.01
Sul,Jequié,292050,Maracás,76.55,68.76,70.33,70.42,73.7,76.42," 78,73",90.11,"88,16","94,92",40.21,25.05
Leste,Cruz das Almas,292060,Maragogipe,95.72,95.58,93.1,94.89,94.22,99.21," 95,02",90.13,"87,06","88,73",22.94,22.96
Sul,Itabuna,292070,Maraú,64.27,77.05,71.18,62.11,58.8,64.63," 57,69",76.49,"72,37","68,90",41.61,59.79
Centro Leste,Itaberaba,292080,Marcionílio Souza,82.98,90.88,80.09,85.61,80.98,83.45," 83,72",76.4,"77,29","78,33",62.46000000000001,66.75
Sul,Ilhéus,292090,Mascote,42.0,43.95,35.09,22.99,46.83,60.1," 44,97",66.52,"69,89","73,96",35.13,27.529999999999998
Leste,Camaçari,292100,Mata de São João,68.2,72.79,49.42,72.69,64.32,75.65," 64,32",65.06,"75,97","77,20",13.99,19.21
Sudoeste,Guanambi,292105,Matina,87.44,88.98,85.35,82.02,86.81,95.32," 92,34",93.98,"92,39","95,11",33.96,33.36
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,75.1,82.65,78.45,78.1,86.44,86.1," 85,15",93.48,"87,76","90,99",24.09,19.37
Centro Norte,Jacobina,292120,Miguel Calmon,84.58,86.59,85.62,84.87,86.01,86.51," 83,79",91.55,"90,57","92,02",40.02,49.36
Leste,Santo Antônio de Jesus,292130,Milagres,77.24,91.18,84.62,83.16,90.55,87.1," 84,92",90.75,"87,33","85,90",41.94,73.18
Centro Norte,Jacobina,292140,Mirangaba,84.55,88.25,83.81,45.3,88.29,80.29," 90,11 ",84.71,"86,90","87,90",54.91,78.49000000000001
Sudoeste,Vitória da Conquista,292145,Mirante,93.79,93.47,88.27,87.1,92.11,88.08," 88,50",94.17,"95,14","94,76",90.7,88.75
Centro Leste,Serrinha,292150,Monte Santo,88.97,90.74,86.78,85.4,88.88,90.7," 90,12",89.04,"88,00","87,84",32.46,24.93
Oeste,Ibotirama,292160,Morpará,100.0,97.63,96.65,77.68,83.51,93.8," 90,45 ",84.87,"87,39","87,83",15.860000000000001,80.04
Centro Norte,Jacobina,292170,Morro do Chapéu,85.32,86.4,81.11,81.38,81.65,77.64," 82,07 ",88.34,"89,00","90,68",61.25000000000001,73.46000000000001
Sudoeste,Guanambi,292180,Mortugaba,98.42,91.64,94.12,90.28,91.1,84.75," 85,67 ",92.37,"93,04","93,22",45.470000000000006,42.25
Centro Leste,Seabra,292190,Mucugê,51.69,81.93,84.09,73.07,87.33,86.3," 87,09 ",84.64,"80,85","91,10",49.96000000000001,73.76
Extremo Sul,Teixeira de Freitas,292200,Mucuri,81.39,81.57,83.52,76.73,80.4,78.34," 81,61 ",84.85,"80,73","86,01",45.06,48.72
Centro Norte,Irecê,292205,Mulungu do Morro,88.71,87.07,86.5,83.66,88.18,89.89," 85,15 ",89.99,"90,94","91,87",33.43000000000001,34.660000000000004
Centro Leste,Feira de Santana,292210,Mundo Novo,77.25,85.23,83.24,70.96,95.8,91.75," 93,32 ",92.86,"89,96","89,20",26.31,69.56
Leste,Santo Antônio de Jesus,292220,Muniz Ferreira,94.47,95.47,98.6,96.14,94.77,88.97," 88,57 ",99.42,"97,16","93,10",93.29,98.11
